"Nom","Image","Reponse","Explication Bravo","Explication Dommage","Indice"
"Image","Images/FHO_Image1.jpg ","Information","Tu as raison, l'article n'explique ni la raison de ce réchauffement, ni n'émet aucune hypothèse sur les raisons de ce phénomène, aussi aucune personne citée n’émet d’opinion sur ce fait, l'article présente simplement un constat informatif.","Il s'agissait d'une information ! L'article n'explique pas la raison de ce réchauffement et n'émet aucune hypothèse sur les raisons de ce phénomène. Aucune personne citée n’émet d’opinion sur ce fait non plus, l'article présente simplement un constat informatif.","L'observatoire européen Copernicus, mentionné dans cet article, est le programme d'observation de la Terre de l'Union européenne. Il se concentre sur notre planète et son environnement pour le bénéfice de tous les citoyens européens. Il fournit des services d'information basés sur l'observation par satellite et les données in situ (non spatiales)."
"Image","Images/FHO_Image3.jpg","Hypothèse","L’auteur énonce les faits et relaie les paroles rapportées sans citer de source sûre. On peut le remarquer avec l'emploi du conditionnel dans le titre.","Il s'agissait d'une hypothèse. L’auteur énonce les faits et relaie les paroles rapportées sans citer de source sûre. On peut le remarquer avec l'emploi du conditionnel dans le titre.","L’emploi du conditionnel est souvent synonyme d'une supposition. "
"Image","Images/FHO_Image4.jpg","Opinion","Il s'agit d'un éditorial, un genre journalistique qui donne à savoir la position ou le point de vue de l'auteur ou de la rédaction d'un média sur un thème d'actualité. Ici, la journaliste, Alba Ventura, donne son point de vue sur le plan de lutte du gouvernement contre le tabagisme. L'article présente des faits mais a pour titre l’opinion de la journaliste et le texte est écrit à la première personne du singulier.","Il s'agit d'une opinion. Cet édito (un éditorial est un genre journalistique qui donne à savoir la position ou le point de vue de l'éditeur ou de la rédaction d'un média sur un thème d'actualité) transcrit l’opinion d’une journaliste, Alba Ventura, sur le plan de lutte du gouvernement contre le tabagisme. Il présente des faits mais a pour titre l’opinion de la journaliste et le texte est écrit à la première personne du singulier.","Un edito désigne, dans le domaine du journalisme, un éditorial, c'est-à-dire un article qui exprime le point de vue de l'éditeur·trice sur un thème."
"Image","Images/FHO_Image5.png","Explication","Cet article présente et explique les raisons pour lesquelles les habitant·e·s de Coulommiers s'appellent ainsi en donnant une explication rationnelle.","C’est un article qui présente et explique les raisons pour lesquelles les habitant·e·s de Coulommiers s'appellent ainsi en donnant une explication rationnelle. Il s'agit donc d'une explication.","Le titre de l'article est tourné à l'interrogatif, et commence par ""pourquoi""."
"Image","Images/FHO_Image6.png","Information","Cet article de France Info relate un fait en expliquant précisément pourquoi une filiale française de Coca Cola a payé 42 millions d'euros. Le journaliste n’exprime pas son opinion, il se contente d’annoncer, de façon neutre, un fait.","Cet article de France Info relate un fait en expliquant précisément pourquoi une filiale française de Coca Cola a payé 42 millions d'euros. Le journaliste n’exprime pas son opinion, il se contente d’annoncer, de façon neutre, un fait.","Le titre est factuel et écrit à la forme affirmative. De plus, cet article a été rédigé en collaboration avec l'AFP (Agence France-Presse)."
"Image","Images/FHO_Image7.png","Opinion","Cet exemple utilise de nombreux guillemets pour indiquer que nous avons affaire à des citations de personnes exprimant des avis et interprétant les sentiments de quelqu'un. Par exemple, cette brève est presque entièrement composée de propos rapportés de Brigitte Bardot concernant ses sentiments envers Alain Delon, ainsi que de suppositions sur les sentiments de ce dernier.","Il s'agit d'une opinion. Cet exemple utilise de nombreux guillemets pour indiquer que nous avons affaire à des citations de personnes exprimant des avis et interprétant les sentiments de quelqu'un. Par exemple, cette brève est presque entièrement composée de propos rapportés de Brigitte Bardot concernant ses sentiments envers Alain Delon, ainsi que de suppositions sur les sentiments de ce dernier.","Si tu examines attentivement le contenu de l'article, il cite principalement Brigitte Bardot."
"Image","Images/FHO_Image8.jpg","Hypothèse","L’utilisation du conditionnel dans le titre de l’article nous donne un premier indice sur le type d’information que nous avons sous les yeux. Ensuite nous pouvons lire à la fin de l’article que les études sur la disparition des insectes ont été menées uniquement en Allemagne mais étant donné que les autres pays européens ont des systèmes agraires similaires, alors les journalistes émettent l’hypothèse que les résultats peuvent être généralisés à toute l’Europe.","Il s'agit d'une hypotèse. Tout d’abord l’utilisation du conditionnel dans le titre de l’article nous donne un premier indice sur le type d’information que nous avons sous les yeux. Ensuite nous pouvons lire à la fin de l’article que les études sur la disparition des insectes ont été menées uniquement en Allemagne mais étant donné que les autres pays européens ont des systèmes agraires similaires, alors les journalistes émettent l’hypothèse que les résultats peuvent être généralisés à toute l’Europe.","Le terme ""aurait disparu"" devrait t'aider à faire ton choix. "
"Image","Images/FHO_Image9.png","Hypothèse","L'article utilise le terme ""probablement"", ce qui montre que ce n'est pas certain. De plus, l'article précise qu'il avance des mesures concernant uniquement l'Allemagne et non le reste de l'Europe, ainsi le fait que ce phénomène se répande est une hypothèse.","Il s'agit d'une hypothèse. Tout d'abord, l'article utilise le terme ""probablement"", ce qui montre que ce n'est pas certain. De plus, l'article précise qu'il avance des mesures concernant uniquement l'Allemagne et non le reste de l'Europe, ainsi le fait que ce phénomène se répande est une hypothèse.","Un mot présent dans le titre devrait t'aider à trouver la bonne réponse. "
"Image","Images/FHO_Image10.png","Hypothèse","Ici, les faits rapportés sont toujours nuancés par des termes comme ""probablement"" ou ""le plus probable"". Il ne s'agit donc pas d'un fait avéré, mais d'une hypothèse.","Ici, les faits rapportés sont toujours nuancés par des termes comme ""probablement"" ou 'le plus ""probable"". Il ne s'agit donc pas d'un fait avéré, mais d'une hypothèse.","Une tournure de phrase présente dans l'article va t'aiguiller vers la bonne réponse."
"Image","Images/FHO_Image11.png","Opinion","Cet exemple utilise de nombreux guillemets pour indiquer que nous avons affaire à des citations de personnes exprimant un avis. Il s'agit donc d'une opinion.","Cet exemple utilise de nombreux guillemets pour indiquer que nous avons affaire à des citations de personnes exprimant un avis. Il s'agit donc d'une opinion.","Il semblerait que l'indice se trouve dans le titre de cet article. "
