"Nom de l'image","Document 1","Document 2","Document 3","Document 4","Explication Bravo","Explication Dommage","Indice"
"Image / Image / Image / Video","Images/QC_Image1_1.jpg","Images/QC_Image2.png","Images/QC_Image3.jpg","Images/QC_Video1(1).mp4","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","(GOOD) Le corossol n’est pas efficace contre le cancer","(GOOD) Le corossol est un aliment qui contribue comme d'autres aliments à prévenir certains cancers grâce aux antioxydants qu'il contient","Le corossol est un aliment un peu efficace comme d’autres pour lutter contre le cancer","Le corossol est un aliment très efficace pour lutter contre le cancer","Un seul contenu croise ses sources et mobilise l’avis d’un expert et d’une étude, celui de Marie Claire. L’article explique que cette fausse information est liée à une mauvaise interprétation : il n’existe pas d’aliments qui soignent le cancer, mais le corossol contient des anti-oxydants qui limitent le vieillissement cellulaire et donc le risque de cancer, comme beaucoup d’autres aliments.","Un seul contenu croise ses sources et mobilise l’avis d’un expert et d’une étude, celui de Marie Claire. L’article explique que cette fausse information est liée à une mauvaise interprétation : il n’existe pas d’aliments qui soignent le cancer, mais le corossol contient des anti-oxydants qui limitent le vieillissement cellulaire et donc le risque de cancer, comme beaucoup d’autres aliments.","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Image / Image / Video","Images/QC_Image1_2.jpg","Images/QC_Image2_2.jpg","Images/QC_Image3_2.jpeg","Images/QC_Video1_2.mp4","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","(GOOD) L'huile essentielle de citronnelle repousse certaines espèces de moustiques mais pas de façon efficace","(GOOD) La citronnelle est loin d’être la meilleure façon de repousser les moustiques","La citronnelle est totalement inefficace pour repousser les moustiques","L’huile essentielle de citronnelle est très efficace pour repousser les moustiques","Comme le précise l'article de Libération, la citronnelle, en particulier sous forme d'huile essentielle, est souvent citée comme un répulsif naturel contre les moustiques. Cependant, il est important de nuancer son efficacité. Effectivement, l'huile essentielle de citronnelle peut avoir un effet répulsif sur certaines espèces de moustiques, mais cet effet reste modéré et pas toujours durable. De plus, elle ne protège pas contre toutes les espèces de moustiques, comme le moustique tigre, qui peut être insensible à cet ingrédient. Ainsi, bien que la citronnelle puisse offrir une protection temporaire contre certains moustiques, comme le précise l'article de Science Presse Quebec, elle n'est pas la méthode la plus fiable ou la plus efficace pour se protéger contre les piqûres, à moins de s'en badigeonner extrêmement régulierement. ","Comme l'explique l'article de Libération, la citronnelle est souvent perçue comme un répulsif naturel efficace contre les moustiques. Cependant, il est important de nuancer cette perception. Bien que l'huile essentielle de citronnelle puisse repousser certaines espèces de moustiques, son efficacité reste limitée et de courte durée. L'effet répulsif n'est pas toujours suffisant, et il est particulièrement faible contre des espèces comme le moustique tigre, qui y est insensible. De plus, comme le souligne l'article de Science Presse Québec, des études ont montré que la citronnelle perd rapidement son efficacité, notamment sous l'effet de la chaleur ou de l'humidité, et n'offre qu'une protection temporaire. En somme, bien qu'elle puisse être un recours dans certaines situations, la citronnelle n'est pas la méthode la plus fiable pour se protéger contre les piqûres de moustiques, à moins de s'en badigeonner extrêmement régulierement. ","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Image / Image / Image","Images/QC_Image1_3.jpg","Images/QC_Image2_3.jpg","Images/QC_Image3_3.jpeg","Images/QC_Image4_3.jpg","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","Nos téléphones espionnent toutes nos conversations orales pour faire de la publicité ciblée","(GOOD) Nos téléphones ne semblent pas avoir les capacités/ressources d’espionner nos conversations orales","(GOOD) Les entreprises comme Amazon, Google... utilisent beaucoup de nos données comme notre localisation, nos recherches... mais n’utilisent pas nos conversations orales","(GOOD) Il n’y a pas de preuves scientifiques pour démontrer que les entreprises utilisent nos téléphones pour écouter et utiliser nos conversations orales","La plupart des gens pensent que nos téléphones écoutent nos conversations pour faire du marketing ciblé. Par exemple, après avoir parlé de vouloir acheter une planche de surf, on tombe sur des publicités de planches de surf. En réalité, ce genre de coïncidence est souvent dû à l'utilisation de nos données de localisation, de recherches en ligne et d'interactions avec les applications par des entreprises comme Google et Facebook. Utiliser nos conversations orales n'apporterait pas énormément d'informations supplémentaires et les ressources nécessaires pour écouter systématiquement nos conversations ne justifieraient pas la valeur ajoutée obtenue. ","La plupart des gens pensent que nos téléphones écoutent nos conversations pour faire du marketing ciblé. Par exemple, après avoir parlé de vouloir acheter une planche de surf, on tombe sur des publicités de planches de surf. En réalité, ce genre de coïncidence est souvent dû à l'utilisation de nos données de localisation, de recherches en ligne et d'interactions avec les applications par des entreprises comme Google et Facebook. Utiliser nos conversations orales n'apporterait pas énormément d'informations supplémentaires et les ressources nécessaires pour écouter systématiquement nos conversations ne justifieraient pas la valeur ajoutée obtenue. ","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Image / Image / Image","Images/QC_Image1_4.JPG","Images/QC_Image2_4.jpg","Images/QC_Image3_4.jpg","Images/QC_Image4_4.jpg","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","(GOOD) Il est possible de voir des requins sur les plages du bassin d'Arcachon mais cela reste rare","Il s'agit sûrement d'un photomontage, je ne crois pas que cette information soit vraie","Il y a souvent des requins dans le bassin d’Arcachon et plusieurs incidents ont déjà eu lieu ","Je ne pense pas que ce soient des requins, il s’agit sûrement d’une autre espèce (comme un espadon) ","En effet, des requins, très majoritairement inoffensifs, ont déjà été aperçus dans le bassin d'Arcachon mais cela reste rare et aucun incident n'est à déplorer. Le post de Cyril Foucaud ne permet pas à lui tout seul de vérifier que l'information est vraie car il ne mobilise pas de sources et ne permet pas d'affirmer à 100% que cela se produit dans le bassin. Idem pour le post X de Cerfia qui se contente de reprendre des citations sans les sourcer.
L'article du Figaro croise plusieurs sources et mentionne l'Agence Française de Presse, lui donnant  plus de légitimité. L'article de Paris Match mentionne un requin aperçu en 2023 mais aucun incident n'est à déplorer.","Le Figaro et Paris Match sont des médias de presse reconnus qui sourcent leur contenu (Le Figaro mentionne l'Agence Française de Presse et Paris Match mentionne un article de Sud Ouest), nous pouvons donc en conclure que leurs articles sont véridiques : des requins ont déjà été aperçus dans le bassin d'Arcachon mais cela reste rare et aucun baigneur n'a été blessé.
Bien que les posts de Cyril Foucaud et Cerfia soient vrais, ils ne mentionnent aucune source et sont donc à lire avec plus de recul.","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Image / Image / Video","Images/QC_Image1_5.jpg","Images/QC_Image2_5.jpg","Images/QC_Image3_5.jpg","Images/QC_Video1_5.mp4","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","(GOOD) Coca cola a popularisé l’image actuelle du père noël avec ses vêtements rouges et sa grosse barbe","Coca cola possède les droits d’exploitation du personnage du père noël ","Coca Cola n’a aucun rapport avec le père noël et a seulement utilisé son image dans ses publicités  ","Coca cola a inventé le père Noel qui s’est popularisé par la suite  ","Les trois articles expliquent bien que Coca-Cola n'a pas inventé le Père Noël, mais a effectivement contribué à populariser son image actuelle avec son costume rouge et sa grosse barbe, grâce à une campagne publicitaire iconique. Le Père Noël, tel qu'on le connaît aujourd'hui, existait déjà sous différentes formes bien avant la publicité de Coca-Cola. L'entreprise a seulement réutilisé cette image pour ses publicités, ce qui a alimenté la rumeur selon laquelle Coca-Cola en serait à l'origine.","Malheuresement la vidéo contient une fake news. Les articles en revanches se recoupent. Bien que Coca-Cola ait effectivement joué un rôle important dans la popularisation de l'image moderne du Père Noël, l'entreprise n'en est pas l'inventeur. Le Père Noël existait déjà bien avant ses campagnes publicitaires, sous différentes formes, et Coca-Cola a seulement utilisé cette image dans ses publicités. Il est important de se méfier des idées reçues et des rumeurs, comme celle selon laquelle Coca-Cola aurait inventé le Père Noël.","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Video / Image / Image","Images/QC_Image2_6.jpg ","Images/QC_Video1_6.mp4","Images/QC_Image1_6.JPG","Images/QC_Image3_6.JPG","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"","(GOOD) Il n'existe pas d'études solides démontrant que les femmes qui sont proches ou vivent ensemble ont des menstruations synchronisées","Les cycles menstruels des femmes vivant ensemble se synchronisent au fil du temps par l'action des phéromones","(GOOD) Plusieurs études sont arrivées à la conclusion que des femmes vivant ensemble peuvent finir par avoir leur règles en même temps","Les règles des femmes qui sont proches se synchronisent pour permettre une meilleure régulation de la reproduction","Les articles de la RTBF Actus et de l’Agence Science Presse, en s’appuyant sur plusieurs études et témoignages de chercheur·euse·s, expliquent qu’aucune preuve scientifique ne confirme la synchronisation des menstruations entre personnes vivant ensemble. Lorsque des cycles menstruels semblent se synchroniser, cela est principalement dû au hasard.
Le post sur X et la vidéo TikTok évoquent des expériences personnelles, attribuant cette synchronisation aux phéromones. Cependant, aucune preuve scientifique ne vient appuyer cette théorie.","Les articles de la RTBF Actus et de l’Agence Science Presse, en s’appuyant sur plusieurs études et témoignages de chercheur·euse·s, expliquent qu’aucune preuve scientifique ne confirme la synchronisation des menstruations entre personnes vivant ensemble. Lorsque des cycles menstruels semblent se synchroniser, cela est principalement dû au hasard.
Le post sur X et la vidéo TikTok évoquent des expériences personnelles, attribuant cette synchronisation aux phéromones. Cependant, aucune preuve scientifique ne vient appuyer cette théorie.","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
"Image / Image / Image / Image","Images/QC_Image1_7.jpg","Images/QC_Image2_7.jpg","Images/QC_Image3_7.jpg","Images/QC_Image4_7.jpg","","","Clique sur les documents et parcours les pour te faire ta propre opinion sur ce sujet ! Une fois que tu pris connaissance de tous les documents, choisis la réponse qui te semble la plus proche de la réalité."
