"Nom de l'image","Image","Image
(masques)","Reponse","Elements
interactibles description","","Couleur","Hexa","Explication Bravo","Explication Dommage","Indice"
"Image","Images/FPF_Image7.jpg","Images/FPF_Image7_M.png","Fake","Lejournaldesfakesnews : bizarre ce nom de rédaction !","","Rouge","E30613","Il s'agissait bien d'une fausse information créée de toutes pièces pour s'entraîner !","Tu avais bien été attentif à l'auteur de l'article ? Il était écrit ""Le journal des Fake News"" !","Tu peux lire l'article en entier en scrollant l'image ! Essaie de cliquer sur les noms, titres et sources de l'article pour trouver des indices qui te permettront de savoir si ce contenu est faux ou non."
"","","","","Qui sont ces fameux chercheurs ? C'est assez vague quand même ...","","Vert","3AAA35","","",""
"Image","Images/FPF_Image8.jpg","Images/FPF_Image8_M.png","Fiable","Le Temps : est un quotidien suisse édité à Genève qui existe depuis 1998.","","Vert","3AAA35","Ca paraît fou mais c'est pourtant vrai ! Même si le titre est un peu aguicheur, et que l'on comprend vite qu'il n'est pas encore vraiment possible de ""lire les rêves"".","C'était bel et bien une vraie info ! Il est compréhensible que tu n'y ais pas cru avec ce titre un peu aguicheur, mais la journaliste est connue et parle d'une étude publiée dans un journal scientifique reconnu.","Tu peux lire l'article en entier en scrollant l'image ! Essaie de cliquer sur les noms, titres et sources de l'article pour trouver des indices qui te permettront de savoir si ce contenu est faux ou non."
"","","","","Lucia Sillig : avec une petite recherche sur internet, on apprend que Lucia Sillig est journaliste scientifique, notamment auprès de la Radio Télévision Suisse, l'équivalent de France Télévision et Radio France.","","Rouge","E30613","","",""
"","","","","L'article cite explicitement le nom d'un des auteurs de l'étude, et précise d'où il vient. C'est souvent un bon signe car outre le fait de pouvoir vérifier, ça montre que la journaliste fait preuve de déontologie journalistique.","","Jaune","FFED00","","",""
"","","","","Sciences : est une prestigieuse revue scientifique américaine hebdomadaire qui publie des articles dans tous les domaines scientifiques","","Orange","E94E1B","","",""
"Image","Images/FPF_Image1.png","Images/FPF_Image1_M.png","Fake","#NWO : Abréviation de New World Order qui signifie en français Nouvel Ordre Mondial. Le Nouvel ordre mondial est une théorie du complot qui entend dénoncer la tentative d'instauration d'un gouvernement mondial par une élite à son profit","","Vert","3AAA35","Ce tweet était bien une fake news, Olivier Demeulenaere est considéré par ses pairs scientifiques comme un complotiste. Sur sa publication, l'utilisation de hastags liés aux sphères complotistes était un bon indice !","Ce tweet était une fake news, Olivier Demeulenaere est bel est bien considéré comme complotiste ! Les hashtags de son tweet, qui sont communs chez les complotistes, auraient pû mettre la puce à l'oreille !","Tu peux lire l'article en entier en scrollant l'image ! Essaie de cliquer sur les noms, titres et sources de l'article pour trouver des indices qui te permettront de savoir si ce contenu est faux ou non."
"","","","","Olivierdemeulenaere.wordpress.com : Wordpress.com est un site très populaire permettant à n’importe qui et sans expérience en codage de créer un site web ou un blog.","","Orange","E94E1B","","",""
"","","","","#chemtrails : La théorie conspirationniste des chemtrails avance que certaines traînées blanches créées par le passage des avions en vol sont composées d'agents chimiques ou biologiques délibérément répandus en haute altitude par diverses agences gouvernementales pour des raisons dissimulées au grand public. 

Cette théorie complotiste est rejetée par la communauté scientifique, qui indique qu'il s'agit de simples traînées de condensation.","","Jaune","FFED00","","",""
"","","","","Olivier Demeulenaere : est journaliste économique et financier. Il a étudié à l’Ecole normale supérieure et est diplômé de l’Institut d’études politiques de Paris. 

Il ne travaille plus pour des médias mais tient un blog et écrit des contenus sur de sites tels qu'Égalité & Réconciliation, Profession Gendarme, Réseau Voltaire.","","Rouge","E30613","","",""
"Image","Images/FPF_Image5.jpg","Images/FPF_Image5_M.png","Fiable","France 3 région : l'auteur de l'article est la rédaction de France 3 région, qui est l'antenne locale de France 3, un média public.","","Rouge","E30613","Un village gaulois incroyable ! Mais vrai ! Ton analyse était bonne, cet article est bien une vraie information.","Même si le titre est un peu accrocheur, il s'agissait bien d'une vraie information ! France 3 région est un média public, en général leurs informations sont vérifiées et véridiques.","Tu peux lire l'article en entier en scrollant l'image ! Essaie de cliquer sur les noms, titres et sources de l'article pour trouver des indices qui te permettront de savoir si ce contenu est faux ou non."
"","","","","L'article cite explicitement les noms des personnes et du lieu du reportage. C'est souvent un bon signe car cela permet de vérifier par nous-même si l'information est fiable en cherchant les noms et lieux sur un moteur de recherche afin de croiser ses sources.","","Vert","3AAA35","","",""
